sugarRegion,price,unit,ym,marketingYear,marketingYearMonth,weight,contractType
Region 3,432.5332,Tonne,2021/04,2020/2021,Apr,7204.33,Short term contracts
Region 3,452.0902,Tonne,2021/04,2020/2021,Apr,79784.18,Monthly data
EU Average,394.2263,Tonne,2021/03,2020/2021,Mar,775174.12,Monthly data
EU Average,405.432,Tonne,2021/03,2020/2021,Mar,27372.79,Short term contracts
Region 1,386.3372,Tonne,2021/03,2020/2021,Mar,160991.66,Monthly data
Region 1,386.6963,Tonne,2021/03,2020/2021,Mar,9374.2,Short term contracts
Region 2,387.5029,Tonne,2021/03,2020/2021,Mar,524662.44,Monthly data
Region 3,447.8191,Tonne,2021/03,2020/2021,Mar,89520.02,Monthly data
Region 3,431.7217,Tonne,2021/03,2020/2021,Mar,9138.42,Short term contracts
EU Average,410.2881,Tonne,2021/02,2020/2021,Feb,23827.38,Short term contracts
EU Average,390.3329,Tonne,2021/02,2020/2021,Feb,676208.86,Monthly data
Region 1,391.7783,Tonne,2021/02,2020/2021,Feb,4879.08,Short term contracts
Region 1,390.3486,Tonne,2021/02,2020/2021,Feb,140576.97,Monthly data
Region 2,380.4079,Tonne,2021/02,2020/2021,Feb,460846.59,Monthly data
Region 2,396.1286,Tonne,2021/02,2020/2021,Feb,10170.16,Short term contracts
Region 3,436.9811,Tonne,2021/02,2020/2021,Feb,8778.14,Short term contracts
Region 3,451.4635,Tonne,2021/02,2020/2021,Feb,74785.3,Monthly data
EU Average,388.0283,Tonne,2021/01,2020/2021,Jan,716473.69,Monthly data
EU Average,400.3252,Tonne,2021/01,2020/2021,Jan,21249.02,Short term contracts
Region 1,385.9716,Tonne,2021/01,2020/2021,Jan,140623.52,Monthly data
Region 1,348.7729,Tonne,2021/01,2020/2021,Jan,5005.76,Short term contracts
Region 2,393.7351,Tonne,2021/01,2020/2021,Jan,10801.12,Short term contracts
Region 2,377.8918,Tonne,2021/01,2020/2021,Jan,482087.77,Monthly data
Region 3,443.2306,Tonne,2021/01,2020/2021,Jan,93762.4,Monthly data
Region 3,460.8233,Tonne,2021/01,2020/2021,Jan,5442.14,Short term contracts
EU Average,379.3174,Tonne,2020/12,2020/2021,Dec,640375.44,Monthly data
Region 1,380.8843,Tonne,2020/12,2020/2021,Dec,122997.6,Monthly data
Region 2,367.4877,Tonne,2020/12,2020/2021,Dec,439535.93,Monthly data
Region 3,443.6383,Tonne,2020/12,2020/2021,Dec,77841.91,Monthly data
EU Average,378.998,Tonne,2020/11,2020/2021,Nov,805213.45,Monthly data
Region 1,383.7308,Tonne,2020/11,2020/2021,Nov,147377.09,Monthly data
Region 2,369.0844,Tonne,2020/11,2020/2021,Nov,585767.54,Monthly data
Region 3,449.8967,Tonne,2020/11,2020/2021,Nov,72068.83,Monthly data
EU Average,381.0587,Tonne,2020/10,2020/2021,Oct,841748.47,Monthly data
Region 1,378.6894,Tonne,2020/10,2020/2021,Oct,156055.33,Monthly data
Region 2,370.952,Tonne,2020/10,2020/2021,Oct,594281.52,Monthly data
Region 3,450.809,Tonne,2020/10,2020/2021,Oct,91411.63,Monthly data
EU Average,376.307,Tonne,2020/09,2019/2020,Sep,857291.65,Monthly data
Region 1,380.8068,Tonne,2020/09,2019/2020,Sep,163510.84,Monthly data
Region 2,362.2185,Tonne,2020/09,2019/2020,Sep,600775.63,Monthly data
Region 3,459.4022,Tonne,2020/09,2019/2020,Sep,93005.18,Monthly data
EU Average,378.3707,Tonne,2020/08,2019/2020,Aug,775006.24,Monthly data
Region 1,382.5187,Tonne,2020/08,2019/2020,Aug,145038.58,Monthly data
Region 2,365.3287,Tonne,2020/08,2019/2020,Aug,553430.05,Monthly data
Region 3,464.8146,Tonne,2020/08,2019/2020,Aug,76537.61,Monthly data
EU Average,378.252,Tonne,2020/07,2019/2020,Jul,845623.41,Monthly data
Region 1,378.297,Tonne,2020/07,2019/2020,Jul,154608.53,Monthly data
Region 2,367.3616,Tonne,2020/07,2019/2020,Jul,612490.12,Monthly data
Region 3,463.1076,Tonne,2020/07,2019/2020,Jul,78524.77,Monthly data
EU Average,378.6263,Tonne,2020/06,2019/2020,Jun,815432.99,Monthly data
Region 1,380.3618,Tonne,2020/06,2019/2020,Jun,150429.46,Monthly data
Region 2,367.2377,Tonne,2020/06,2019/2020,Jun,584773.38,Monthly data
Region 3,458.3799,Tonne,2020/06,2019/2020,Jun,80230.15,Monthly data
EU Average,375.388,Tonne,2020/05,2019/2020,May,714316.45,Monthly data
Region 1,386.2526,Tonne,2020/05,2019/2020,May,134580.05,Monthly data
Region 2,363.4378,Tonne,2020/05,2019/2020,May,518618.8,Monthly data
Region 3,452.8683,Tonne,2020/05,2019/2020,May,61117.6,Monthly data
EU Average,379.38,Tonne,2020/04,2019/2020,Apr,699688.7,Monthly data
Region 1,384.2484,Tonne,2020/04,2019/2020,Apr,127873.97,Monthly data
Region 2,371.1702,Tonne,2020/04,2019/2020,Apr,520647.82,Monthly data
Region 3,450.752,Tonne,2020/04,2019/2020,Apr,51166.91,Monthly data
EU Average,374.5252,Tonne,2020/03,2019/2020,Mar,831140.73,Monthly data
Region 1,383.0827,Tonne,2020/03,2019/2020,Mar,165634.69,Monthly data
Region 2,363.5083,Tonne,2020/03,2019/2020,Mar,592889.82,Monthly data
Region 3,444.956,Tonne,2020/03,2019/2020,Mar,72616.22,Monthly data
EU Average,370.7757,Tonne,2020/02,2019/2020,Feb,773654.44,Monthly data
Region 1,378.533,Tonne,2020/02,2019/2020,Feb,139351.16,Monthly data
Region 2,357.8807,Tonne,2020/02,2019/2020,Feb,557183.72,Monthly data
Region 3,449.9239,Tonne,2020/02,2019/2020,Feb,77119.56,Monthly data
EU Average,360.4775,Tonne,2020/01,2019/2020,Jan,856365.72,Monthly data
Region 1,368.3746,Tonne,2020/01,2019/2020,Jan,157054.81,Monthly data
Region 2,346.8972,Tonne,2020/01,2019/2020,Jan,615273.49,Monthly data
Region 3,445.1462,Tonne,2020/01,2019/2020,Jan,84037.43,Monthly data
EU Average,342.2393,Tonne,2019/12,2019/2020,Dec,719599.89,Monthly data
Region 1,356.6252,Tonne,2019/12,2019/2020,Dec,142188.35,Monthly data
Region 2,326.217,Tonne,2019/12,2019/2020,Dec,490373.5,Monthly data
Region 3,409.0079,Tonne,2019/12,2019/2020,Dec,87038.04,Monthly data
EU Average,333.8682,Tonne,2019/11,2019/2020,Nov,903266.81,Monthly data
Region 1,344.8996,Tonne,2019/11,2019/2020,Nov,174239.95,Monthly data
Region 2,321.1382,Tonne,2019/11,2019/2020,Nov,639754.25,Monthly data
Region 3,403.5648,Tonne,2019/11,2019/2020,Nov,89272.61,Monthly data
EU Average,332.3175,Tonne,2019/10,2019/2020,Oct,914911.32,Monthly data
Region 1,337.6828,Tonne,2019/10,2019/2020,Oct,166967.83,Monthly data
Region 2,320.4615,Tonne,2019/10,2019/2020,Oct,646757.16,Monthly data
Region 3,399.2451,Tonne,2019/10,2019/2020,Oct,101186.33,Monthly data
EU Average,327.7814,Tonne,2019/09,2018/2019,Sep,859849.38,Monthly data
Region 1,332.9894,Tonne,2019/09,2018/2019,Sep,177011.89,Monthly data
Region 2,316.4197,Tonne,2019/09,2018/2019,Sep,566682.99,Monthly data
Region 3,375.2749,Tonne,2019/09,2018/2019,Sep,116154.5,Monthly data
EU Average,320.1642,Tonne,2019/08,2018/2019,Aug,846402.85,Monthly data
Region 1,320.9331,Tonne,2019/08,2018/2019,Aug,166422.01,Monthly data
Region 2,309.848,Tonne,2019/08,2018/2019,Aug,582622.75,Monthly data
Region 3,380.5858,Tonne,2019/08,2018/2019,Aug,97358.09,Monthly data
EU Average,319.924,Tonne,2019/07,2018/2019,Jul,914162,Monthly data
Region 1,323.9227,Tonne,2019/07,2018/2019,Jul,167138.56,Monthly data
Region 2,308.0578,Tonne,2019/07,2018/2019,Jul,641981.11,Monthly data
Region 3,386.0837,Tonne,2019/07,2018/2019,Jul,105042.33,Monthly data
EU Average,321.047,Tonne,2019/06,2018/2019,Jun,786607.07,Monthly data
Region 1,325.1981,Tonne,2019/06,2018/2019,Jun,157506.93,Monthly data
Region 2,311.1216,Tonne,2019/06,2018/2019,Jun,551748.19,Monthly data
Region 3,383.3922,Tonne,2019/06,2018/2019,Jun,77351.95,Monthly data
EU Average,319.6536,Tonne,2019/05,2018/2019,May,930565.94,Monthly data
Region 1,325.3562,Tonne,2019/05,2018/2019,May,208729.52,Monthly data
Region 2,309.4229,Tonne,2019/05,2018/2019,May,601639.28,Monthly data
Region 3,360.96,Tonne,2019/05,2018/2019,May,120197.14,Monthly data
EU Average,319.1103,Tonne,2019/04,2018/2019,Apr,852935.18,Monthly data
Region 1,324.1645,Tonne,2019/04,2018/2019,Apr,185907.12,Monthly data
Region 2,311.3729,Tonne,2019/04,2018/2019,Apr,588747.39,Monthly data
Region 3,365.2998,Tonne,2019/04,2018/2019,Apr,78280.67,Monthly data
EU Average,313.7814,Tonne,2019/03,2018/2019,Mar,845990.84,Monthly data
Region 1,321.2038,Tonne,2019/03,2018/2019,Mar,166086.05,Monthly data
Region 2,304.3484,Tonne,2019/03,2018/2019,Mar,593874.81,Monthly data
Region 3,364.5688,Tonne,2019/03,2018/2019,Mar,86029.98,Monthly data
EU Average,313.9721,Tonne,2019/02,2018/2019,Feb,794674.32,Monthly data
Region 1,321.6368,Tonne,2019/02,2018/2019,Feb,149267.19,Monthly data
Region 2,303.013,Tonne,2019/02,2018/2019,Feb,549948.05,Monthly data
Region 3,365.123,Tonne,2019/02,2018/2019,Feb,95459.08,Monthly data
EU Average,312.2023,Tonne,2019/01,2018/2019,Jan,922856.49,Monthly data
Region 1,315.1742,Tonne,2019/01,2018/2019,Jan,181284.63,Monthly data
Region 2,301.0169,Tonne,2019/01,2018/2019,Jan,623915.42,Monthly data
Region 3,366.9376,Tonne,2019/01,2018/2019,Jan,117656.43,Monthly data
EU Average,314.0362,Tonne,2018/12,2018/2019,Dec,719828.52,Monthly data
Region 1,324.6497,Tonne,2018/12,2018/2019,Dec,137481.95,Monthly data
Region 2,300.3687,Tonne,2018/12,2018/2019,Dec,489208.05,Monthly data
Region 3,370.1579,Tonne,2018/12,2018/2019,Dec,93138.52,Monthly data
EU Average,319.6845,Tonne,2018/11,2018/2019,Nov,962272.46,Monthly data
Region 1,329.4706,Tonne,2018/11,2018/2019,Nov,207887.93,Monthly data
Region 2,308.4124,Tonne,2018/11,2018/2019,Nov,644974.77,Monthly data
Region 3,367.5399,Tonne,2018/11,2018/2019,Nov,109409.76,Monthly data
EU Average,321.0698,Tonne,2018/10,2018/2019,Oct,968119.49,Monthly data
Region 1,325.3192,Tonne,2018/10,2018/2019,Oct,198572.5,Monthly data
Region 2,309.4186,Tonne,2018/10,2018/2019,Oct,654908.13,Monthly data
Region 3,380.2697,Tonne,2018/10,2018/2019,Oct,114638.87,Monthly data
EU Average,346.9954,Tonne,2018/09,2017/2018,Sep,878371.53,Monthly data
Region 1,337.7406,Tonne,2018/09,2017/2018,Sep,188352.37,Monthly data
Region 2,339.5323,Tonne,2018/09,2017/2018,Sep,571927.05,Monthly data
Region 3,397.9005,Tonne,2018/09,2017/2018,Sep,118092.11,Monthly data
EU Average,347.2946,Tonne,2018/08,2017/2018,Aug,896937.39,Monthly data
Region 1,338.0473,Tonne,2018/08,2017/2018,Aug,179729.94,Monthly data
Region 2,345.2366,Tonne,2018/08,2017/2018,Aug,629613.94,Monthly data
Region 3,381.0617,Tonne,2018/08,2017/2018,Aug,87593.52,Monthly data
EU Average,346.499,Tonne,2018/07,2017/2018,Jul,918109.38,Monthly data
Region 1,350.3548,Tonne,2018/07,2017/2018,Jul,155983.19,Monthly data
Region 2,340.912,Tonne,2018/07,2017/2018,Jul,640861.06,Monthly data
Region 3,371.0657,Tonne,2018/07,2017/2018,Jul,121265.14,Monthly data
EU Average,361.4086,Tonne,2018/06,2017/2018,Jun,905641.05,Monthly data
Region 1,362.7048,Tonne,2018/06,2017/2018,Jun,159737.9,Monthly data
Region 2,358.5173,Tonne,2018/06,2017/2018,Jun,630840.43,Monthly data
Region 3,375.4611,Tonne,2018/06,2017/2018,Jun,115062.73,Monthly data
EU Average,368.0446,Tonne,2018/05,2017/2018,May,879607.34,Monthly data
Region 1,369.0806,Tonne,2018/05,2017/2018,May,157694.4,Monthly data
Region 2,364.6513,Tonne,2018/05,2017/2018,May,597054.43,Monthly data
Region 3,382.9623,Tonne,2018/05,2017/2018,May,124858.52,Monthly data
EU Average,364.9471,Tonne,2018/04,2017/2018,Apr,820387.05,Monthly data
Region 1,365.5308,Tonne,2018/04,2017/2018,Apr,152816.16,Monthly data
Region 2,360.9378,Tonne,2018/04,2017/2018,Apr,565228.87,Monthly data
Region 3,386.2186,Tonne,2018/04,2017/2018,Apr,102342.02,Monthly data
EU Average,375.5504,Tonne,2018/03,2017/2018,Mar,828540.07,Monthly data
Region 1,370.8715,Tonne,2018/03,2017/2018,Mar,157147.83,Monthly data
Region 2,373.5037,Tonne,2018/03,2017/2018,Mar,588742.43,Monthly data
Region 3,399.0258,Tonne,2018/03,2017/2018,Mar,82649.81,Monthly data
EU Average,371.7169,Tonne,2018/02,2017/2018,Feb,760815.99,Monthly data
Region 1,370.7695,Tonne,2018/02,2017/2018,Feb,144480.54,Monthly data
Region 2,366.8181,Tonne,2018/02,2017/2018,Feb,539059.16,Monthly data
Region 3,407.6609,Tonne,2018/02,2017/2018,Feb,77276.29,Monthly data
EU Average,370.9016,Tonne,2018/01,2017/2018,Jan,915814.19,Monthly data
Region 1,375.7495,Tonne,2018/01,2017/2018,Jan,192671.05,Monthly data
Region 2,364.8241,Tonne,2018/01,2017/2018,Jan,640551.09,Monthly data
Region 3,406.727,Tonne,2018/01,2017/2018,Jan,82592.06,Monthly data
EU Average,541.1946,Tonne,2025/02,2024/2025,Feb,734733.7,Monthly data
Region 1,532.9485,Tonne,2025/02,2024/2025,Feb,165493.22,Monthly data
Region 2,534.6688,Tonne,2025/02,2024/2025,Feb,495005.51,Monthly data
Region 3,603.0928,Tonne,2025/02,2024/2025,Feb,74234.97,Monthly data
EU Average,540.4899,Tonne,2025/01,2024/2025,Jan,18661.87,Short term contracts
EU Average,558.889,Tonne,2025/01,2024/2025,Jan,842508.09,Monthly data
Region 1,493.0877,Tonne,2025/01,2024/2025,Jan,7835.38,Short term contracts
Region 1,553.8018,Tonne,2025/01,2024/2025,Jan,209008.73,Monthly data
Region 2,553.7752,Tonne,2025/01,2024/2025,Jan,556558.73,Monthly data
Region 3,609.6999,Tonne,2025/01,2024/2025,Jan,76940.63,Monthly data
Region 3,582.9171,Tonne,2025/01,2024/2025,Jan,9014.01,Short term contracts
EU Average,541.0949,Tonne,2024/12,2024/2025,Dec,21800.77,Short term contracts
EU Average,580.4718,Tonne,2024/12,2024/2025,Dec,615715.35,Monthly data
Region 1,484.4143,Tonne,2024/12,2024/2025,Dec,6699.92,Short term contracts
Region 1,586.0988,Tonne,2024/12,2024/2025,Dec,142117.32,Monthly data
Region 2,570.2111,Tonne,2024/12,2024/2025,Dec,414016.08,Monthly data
Region 3,573.3491,Tonne,2024/12,2024/2025,Dec,9516.43,Short term contracts
Region 3,638.3485,Tonne,2024/12,2024/2025,Dec,59581.95,Monthly data
EU Average,598.9895,Tonne,2024/11,2024/2025,Nov,814545.38,Monthly data
EU Average,584.4282,Tonne,2024/11,2024/2025,Nov,37349.98,Short term contracts
Region 1,591.0524,Tonne,2024/11,2024/2025,Nov,202879.25,Monthly data
Region 1,491.9248,Tonne,2024/11,2024/2025,Nov,11010.9,Short term contracts
Region 2,595.6056,Tonne,2024/11,2024/2025,Nov,539006.12,Monthly data
Region 2,655.4912,Tonne,2024/11,2024/2025,Nov,13977.06,Short term contracts
Region 3,586.4743,Tonne,2024/11,2024/2025,Nov,12362.02,Short term contracts
Region 3,646.2532,Tonne,2024/11,2024/2025,Nov,72660.01,Monthly data
EU Average,618.8922,Tonne,2024/10,2024/2025,Oct,837562.24,Monthly data
EU Average,541.1378,Tonne,2024/10,2024/2025,Oct,34356.98,Short term contracts
Region 1,615.608,Tonne,2024/10,2024/2025,Oct,204169.34,Monthly data
Region 1,508.53,Tonne,2024/10,2024/2025,Oct,18775.07,Short term contracts
Region 2,608.9453,Tonne,2024/10,2024/2025,Oct,553834.2,Monthly data
Region 3,696.5642,Tonne,2024/10,2024/2025,Oct,79558.7,Monthly data
Region 3,599.6754,Tonne,2024/10,2024/2025,Oct,10577.53,Short term contracts
EU Average,578.6407,Tonne,2024/09,2023/2024,Sep,34313.42,Short term contracts
EU Average,757.6904,Tonne,2024/09,2023/2024,Sep,766867.4,Monthly data
Region 1,512.2054,Tonne,2024/09,2023/2024,Sep,14724,Short term contracts
Region 1,717.8681,Tonne,2024/09,2023/2024,Sep,180374.95,Monthly data
Region 2,762.8861,Tonne,2024/09,2023/2024,Sep,507375.62,Monthly data
Region 3,815.1599,Tonne,2024/09,2023/2024,Sep,79116.83,Monthly data
Region 3,607.3142,Tonne,2024/09,2023/2024,Sep,12282.28,Short term contracts
EU Average,611.9301,Tonne,2024/08,2023/2024,Aug,25736.08,Short term contracts
EU Average,787.0033,Tonne,2024/08,2023/2024,Aug,732968.38,Monthly data
Region 1,536.8459,Tonne,2024/08,2023/2024,Aug,14122.2,Short term contracts
Region 1,738.6899,Tonne,2024/08,2023/2024,Aug,182234.42,Monthly data
Region 2,794.2982,Tonne,2024/08,2023/2024,Aug,475956.52,Monthly data
Region 3,858.3124,Tonne,2024/08,2023/2024,Aug,74777.44,Monthly data
Region 3,621.8093,Tonne,2024/08,2023/2024,Aug,5570,Short term contracts
EU Average,774.9728,Tonne,2024/07,2023/2024,Jul,806128.65,Monthly data
EU Average,647.7752,Tonne,2024/07,2023/2024,Jul,27307.5,Short term contracts
Region 1,729.6701,Tonne,2024/07,2023/2024,Jul,177958.09,Monthly data
Region 1,601.2404,Tonne,2024/07,2023/2024,Jul,17135.51,Short term contracts
Region 2,779.1737,Tonne,2024/07,2023/2024,Jul,551397.61,Monthly data
Region 3,676.6004,Tonne,2024/07,2023/2024,Jul,5528.51,Short term contracts
Region 3,849.8118,Tonne,2024/07,2023/2024,Jul,76772.95,Monthly data
EU Average,807.3487,Tonne,2024/06,2023/2024,Jun,759287.72,Monthly data
EU Average,634.4419,Tonne,2024/06,2023/2024,Jun,17565.8,Short term contracts
Region 1,603.8945,Tonne,2024/06,2023/2024,Jun,12462.79,Short term contracts
Region 1,755.4371,Tonne,2024/06,2023/2024,Jun,184166.76,Monthly data
Region 2,816.1873,Tonne,2024/06,2023/2024,Jun,495017.79,Monthly data
Region 3,872.0797,Tonne,2024/06,2023/2024,Jun,80103.17,Monthly data
Region 3,693.7245,Tonne,2024/06,2023/2024,Jun,4395.63,Short term contracts
EU Average,671.4091,Tonne,2024/05,2023/2024,May,17900.44,Short term contracts
EU Average,827.1283,Tonne,2024/05,2023/2024,May,741697.43,Monthly data
Region 1,645.0202,Tonne,2024/05,2023/2024,May,12338.14,Short term contracts
Region 1,772.9518,Tonne,2024/05,2023/2024,May,174561.68,Monthly data
Region 2,838.1529,Tonne,2024/05,2023/2024,May,483671.33,Monthly data
Region 3,729.4234,Tonne,2024/05,2023/2024,May,4527.24,Short term contracts
Region 3,876.5486,Tonne,2024/05,2023/2024,May,83464.42,Monthly data
EU Average,831.445,Tonne,2024/04,2023/2024,Apr,739900.58,Monthly data
EU Average,658.2699,Tonne,2024/04,2023/2024,Apr,16320.77,Short term contracts
Region 1,628.8182,Tonne,2024/04,2023/2024,Apr,10962.16,Short term contracts
Region 1,779.6444,Tonne,2024/04,2023/2024,Apr,181905.16,Monthly data
Region 2,842.7522,Tonne,2024/04,2023/2024,Apr,483128.89,Monthly data
Region 3,884.339,Tonne,2024/04,2023/2024,Apr,74866.53,Monthly data
Region 3,705.6882,Tonne,2024/04,2023/2024,Apr,4146.41,Short term contracts
EU Average,843.6439,Tonne,2024/03,2023/2024,Mar,707299.33,Monthly data
EU Average,710.4434,Tonne,2024/03,2023/2024,Mar,14970.24,Short term contracts
Region 1,786.2195,Tonne,2024/03,2023/2024,Mar,161256.1,Monthly data
Region 1,645.7796,Tonne,2024/03,2023/2024,Mar,8900.16,Short term contracts
Region 2,856.0372,Tonne,2024/03,2023/2024,Mar,473306.25,Monthly data
Region 3,890.3083,Tonne,2024/03,2023/2024,Mar,72736.98,Monthly data
Region 3,806.3566,Tonne,2024/03,2023/2024,Mar,3532.09,Short term contracts
EU Average,836.5274,Tonne,2024/02,2023/2024,Feb,725027.84,Monthly data
Region 1,790.3484,Tonne,2024/02,2023/2024,Feb,162061.64,Monthly data
Region 1,690.7079,Tonne,2024/02,2023/2024,Feb,6856,Short term contracts
Region 2,839.5691,Tonne,2024/02,2023/2024,Feb,486232.38,Monthly data
Region 3,824.8537,Tonne,2024/02,2023/2024,Feb,2949.89,Short term contracts
Region 3,914.7829,Tonne,2024/02,2023/2024,Feb,76733.82,Monthly data
EU Average,771.8547,Tonne,2024/01,2023/2024,Jan,16805.9,Short term contracts
EU Average,852.6572,Tonne,2024/01,2023/2024,Jan,767131.65,Monthly data
Region 1,821.5357,Tonne,2024/01,2023/2024,Jan,175274.9,Monthly data
Region 1,738.4093,Tonne,2024/01,2023/2024,Jan,9674.12,Short term contracts
Region 2,855.4813,Tonne,2024/01,2023/2024,Jan,517531.65,Monthly data
Region 3,906.3837,Tonne,2024/01,2023/2024,Jan,74325.1,Monthly data
Region 3,829.5553,Tonne,2024/01,2023/2024,Jan,2907.1,Short term contracts
EU Average,782.4318,Tonne,2023/12,2023/2024,Dec,23712.52,Short term contracts
EU Average,856.4084,Tonne,2023/12,2023/2024,Dec,587977.45,Monthly data
Region 1,689.2638,Tonne,2023/12,2023/2024,Dec,10565.66,Short term contracts
Region 1,815.9868,Tonne,2023/12,2023/2024,Dec,135393.13,Monthly data
Region 2,855.9473,Tonne,2023/12,2023/2024,Dec,390196.58,Monthly data
Region 3,947.0144,Tonne,2023/12,2023/2024,Dec,62387.74,Monthly data
Region 3,848.9358,Tonne,2023/12,2023/2024,Dec,8156.95,Short term contracts
EU Average,853.8394,Tonne,2023/11,2023/2024,Nov,789585.25,Monthly data
EU Average,816.0247,Tonne,2023/11,2023/2024,Nov,30013.18,Short term contracts
Region 1,728.3658,Tonne,2023/11,2023/2024,Nov,11385.7,Short term contracts
Region 1,812.0034,Tonne,2023/11,2023/2024,Nov,182546.02,Monthly data
Region 2,855.3958,Tonne,2023/11,2023/2024,Nov,527358.64,Monthly data
Region 3,849.2265,Tonne,2023/11,2023/2024,Nov,8684.94,Short term contracts
Region 3,939.3834,Tonne,2023/11,2023/2024,Nov,79680.59,Monthly data
EU Average,845.3002,Tonne,2023/10,2023/2024,Oct,31696.94,Short term contracts
EU Average,843.4815,Tonne,2023/10,2023/2024,Oct,775722.35,Monthly data
Region 1,814.5859,Tonne,2023/10,2023/2024,Oct,186163.18,Monthly data
Region 1,781.8652,Tonne,2023/10,2023/2024,Oct,9582.26,Short term contracts
Region 2,892.9552,Tonne,2023/10,2023/2024,Oct,10569.64,Short term contracts
Region 2,841.1919,Tonne,2023/10,2023/2024,Oct,505961.26,Monthly data
Region 3,921.6865,Tonne,2023/10,2023/2024,Oct,83597.91,Monthly data
Region 3,854.3217,Tonne,2023/10,2023/2024,Oct,11545.04,Short term contracts
EU Average,950.1393,Tonne,2023/09,2022/2023,Sep,28420.41,Short term contracts
EU Average,821.0778,Tonne,2023/09,2022/2023,Sep,742567.32,Monthly data
Region 1,785.9463,Tonne,2023/09,2022/2023,Sep,192415.51,Monthly data
Region 1,851.9634,Tonne,2023/09,2022/2023,Sep,5263.62,Short term contracts
Region 2,975.7098,Tonne,2023/09,2022/2023,Sep,11976.2,Short term contracts
Region 2,817.4386,Tonne,2023/09,2022/2023,Sep,469053.97,Monthly data
Region 3,925.4808,Tonne,2023/09,2022/2023,Sep,81097.84,Monthly data
